point_index,x,y,arc_length_px
343,382.958,469.234,378.230
344,384.035,468.863,379.369
345,385.111,468.492,380.507
346,386.187,468.121,381.645
347,387.262,467.751,382.783
348,388.337,467.380,383.919
349,389.411,467.009,385.055
350,390.483,466.638,386.190
351,391.554,466.267,387.324
352,392.624,465.894,388.457
353,393.693,465.521,389.588
354,394.759,465.147,390.719
355,395.824,464.772,391.848
356,396.887,464.396,392.975
357,397.948,464.019,394.101
358,399.006,463.640,395.225
359,400.063,463.259,396.348
360,401.117,462.878,397.469
361,402.169,462.495,398.589
362,403.219,462.112,399.707
363,404.268,461.729,400.823
364,405.314,461.345,401.938
365,406.359,460.961,403.051
366,407.403,460.576,404.163
367,408.445,460.193,405.274
368,409.486,459.809,406.383
369,410.525,459.426,407.491
370,411.563,459.045,408.597
371,412.600,458.664,409.702
372,413.636,458.284,410.805
373,414.672,457.906,411.907
374,415.706,457.529,413.008
375,416.739,457.155,414.107
376,417.772,456.782,415.205
377,418.805,456.412,416.302
378,419.836,456.044,417.397
379,420.868,455.678,418.492
380,421.899,455.316,419.585
381,422.930,454.956,420.677
382,423.961,454.600,421.767
383,424.992,454.247,422.857
384,426.023,453.897,423.945
385,427.054,453.552,425.033
386,428.085,453.210,426.119
387,429.117,452.873,427.205
388,430.149,452.540,428.289
389,431.181,452.212,429.373
390,432.215,451.888,430.455
391,433.249,451.570,431.537
392,434.283,451.257,432.618
393,435.319,450.949,433.699
394,436.356,450.646,434.779
395,437.393,450.350,435.858
396,438.432,450.059,436.936
397,439.472,449.775,438.015
398,440.513,449.496,439.093
399,441.556,449.225,440.170
400,442.600,448.960,441.247
401,443.646,448.702,442.325
402,444.694,448.452,443.402
403,445.743,448.209,444.479
404,446.795,447.973,445.556
405,447.848,447.745,446.634
406,448.903,447.525,447.712
407,449.961,447.313,448.790
408,451.020,447.110,449.870
409,452.082,446.915,450.949
410,453.147,446.728,452.030
411,454.214,446.551,453.111
412,455.283,446.383,454.194
413,456.356,446.224,455.278
414,457.431,446.075,456.363
415,458.508,445.935,457.450
416,459.589,445.806,458.539
417,460.673,445.686,459.629
418,461.758,445.576,460.720
419,462.847,445.476,461.813
420,463.937,445.386,462.907
421,465.029,445.305,464.002
422,466.124,445.235,465.099
423,467.219,445.175,466.196
424,468.317,445.125,467.295
425,469.415,445.084,468.394
426,470.515,445.054,469.494
427,471.616,445.034,470.595
428,472.717,445.023,471.697
429,473.819,445.023,472.799
430,474.922,445.033,473.902
431,476.025,445.053,475.005
432,477.128,445.084,476.108
433,478.231,445.124,477.212
434,479.334,445.174,478.316
435,480.436,445.235,479.420
436,481.538,445.306,480.524
437,482.639,445.387,481.628
438,483.739,445.479,482.732
439,484.838,445.580,483.836
440,485.936,445.692,484.940
441,487.033,445.814,486.043
442,488.128,445.947,487.146
443,489.221,446.090,488.248
444,490.312,446.243,489.350
445,491.401,446.407,490.452
446,492.488,446.581,491.552
447,493.573,446.765,492.652
448,494.655,446.960,493.752
449,495.734,447.165,494.850
450,496.810,447.381,495.948
451,497.883,447.607,497.044
