CurveID,PointID,PosX,PosY,PosZ,TanX,TanY,TanZ
1,45,79.3998,-29.9538,0.0000,-0.5861,-0.8102,0.0
1,46,78.9512,-30.5739,0.0000,-0.5034,-0.8640,0.0
1,47,78.5676,-31.2321,0.0000,-0.4126,-0.9109,0.0
1,48,78.2536,-31.9255,0.0000,-0.3143,-0.9493,0.0
1,49,78.0133,-32.6510,0.0000,-0.2151,-0.9766,0.0
1,50,77.8474,-33.4045,0.0000,-0.1414,-0.9899,0.0
1,51,77.7371,-34.1766,0.0000,-0.1010,-0.9949,0.0
1,52,77.6579,-34.9562,0.0000,-0.0930,-0.9957,0.0
1,53,77.5854,-35.7322,0.0000,-0.1178,-0.9930,0.0
1,54,77.4951,-36.4934,0.0000,-0.1775,-0.9841,0.0
1,55,77.3624,-37.2288,0.0000,-0.2746,-0.9616,0.0
1,56,77.1629,-37.9273,0.0000,-0.4082,-0.9129,0.0
1,57,76.8721,-38.5778,0.0000,-0.5662,-0.8243,0.0
1,58,76.4658,-39.1693,0.0000,-0.6872,-0.7265,0.0
1,59,75.9550,-39.7093,0.0000,-0.7190,-0.6951,0.0
1,60,75.4101,-40.2360,0.0000,-0.6714,-0.7411,0.0
1,61,74.9073,-40.7910,0.0000,-0.5425,-0.8400,0.0
1,62,74.5094,-41.4071,0.0000,-0.3894,-0.9211,0.0
1,63,74.2238,-42.0827,0.0000,-0.2418,-0.9703,0.0
1,64,74.0434,-42.8069,0.0000,-0.1077,-0.9942,0.0
1,65,73.9608,-43.5688,0.0000,0.0104,-0.9999,0.0
1,66,73.9690,-44.3574,0.0000,0.1133,-0.9936,0.0
1,67,74.0608,-45.1618,0.0000,0.2033,-0.9791,0.0
1,68,74.2288,-45.9713,0.0000,0.2831,-0.9591,0.0
1,69,74.4660,-46.7747,0.0000,0.3553,-0.9347,0.0
1,70,74.7650,-47.5614,0.0000,0.4225,-0.9064,0.0
1,71,75.1187,-48.3202,0.0000,0.4867,-0.8736,0.0
1,72,75.5200,-49.0404,0.0000,0.5499,-0.8352,0.0
1,73,75.9615,-49.7110,0.0000,0.6088,-0.7933,0.0
1,74,76.4328,-50.3251,0.0000,0.6121,-0.7908,0.0
1,75,76.8909,-50.9169,0.0000,0.5204,-0.8539,0.0
1,76,77.2733,-51.5446,0.0000,0.3354,-0.9421,0.0
1,77,77.5258,-52.2538,0.0000,0.1401,-0.9901,0.0
1,78,77.6351,-53.0261,0.0000,-0.0423,-0.9991,0.0
1,79,77.6014,-53.8224,0.0000,-0.2206,-0.9754,0.0
1,80,77.4248,-54.6032,0.0000,-0.4025,-0.9154,0.0
1,81,77.1055,-55.3294,0.0000,-0.5897,-0.8076,0.0
1,82,76.6437,-55.9618,0.0000,-0.7372,-0.6757,0.0
1,83,76.0695,-56.4881,0.0000,-0.7607,-0.6491,0.0
1,84,75.5001,-56.9739,0.0000,-0.6365,-0.7713,0.0
1,85,75.0670,-57.4987,0.0000,-0.3560,-0.9345,0.0
1,86,74.8359,-58.1055,0.0000,-0.0869,-0.9962,0.0
1,87,74.7766,-58.7849,0.0000,0.1015,-0.9948,0.0
1,88,74.8520,-59.5234,0.0000,0.2151,-0.9766,0.0
1,89,75.0247,-60.3075,0.0000,0.2742,-0.9617,0.0
1,90,75.2574,-61.1238,0.0000,0.2925,-0.9563,0.0
1,91,75.5129,-61.9588,0.0000,0.2756,-0.9613,0.0
1,92,75.7538,-62.7992,0.0000,0.2215,-0.9752,0.0
1,93,75.9428,-63.6314,0.0000,0.1223,-0.9925,0.0
1,94,76.0427,-64.4420,0.0000,-0.0342,-0.9994,0.0
1,95,76.0162,-65.2175,0.0000,-0.2532,-0.9674,0.0
1,96,75.8260,-65.9445,0.0000,-0.5071,-0.8619,0.0
1,97,75.4347,-66.6096,0.0000,-0.7299,-0.6836,0.0
1,98,74.8052,-67.1992,0.0000,-0.8750,-0.4841,0.0
1,99,73.9000,-67.7000,0.0000,-0.8750,-0.4841,0.0
2,0,84.3000,-22.0000,0.0000,-0.6194,-0.7850,0.0
2,1,84.2404,-22.0755,0.0000,-0.7487,-0.6629,0.0
2,2,84.0859,-22.2123,0.0000,-0.7755,-0.6313,0.0
2,3,83.8482,-22.4059,0.0000,-0.7830,-0.6220,0.0
2,4,83.5389,-22.6515,0.0000,-0.7830,-0.6220,0.0
2,5,83.1698,-22.9447,0.0000,-0.7787,-0.6274,0.0
2,6,82.7525,-23.2810,0.0000,-0.7712,-0.6366,0.0
2,7,82.2985,-23.6557,0.0000,-0.7606,-0.6492,0.0
2,8,81.8197,-24.0643,0.0000,-0.7469,-0.6649,0.0
2,9,81.3277,-24.5023,0.0000,-0.7295,-0.6840,0.0
2,10,80.8342,-24.9651,0.0000,-0.7074,-0.7068,0.0
2,11,80.3507,-25.4482,0.0000,-0.6793,-0.7338,0.0
2,12,79.8890,-25.9469,0.0000,-0.6432,-0.7657,0.0
2,13,79.4607,-26.4568,0.0000,-0.5958,-0.8031,0.0
2,14,79.0776,-26.9732,0.0000,-0.5327,-0.8463,0.0
2,15,78.7513,-27.4917,0.0000,-0.4471,-0.8945,0.0
2,16,78.4934,-28.0076,0.0000,-0.3298,-0.9441,0.0
2,17,78.3157,-28.5164,0.0000,-0.1703,-0.9854,0.0
2,18,78.2297,-29.0135,0.0000,0.0364,-0.9993,0.0
2,19,78.2472,-29.4944,0.0000,0.2770,-0.9609,0.0
2,20,78.3799,-29.9546,0.0000,0.4959,-0.8684,0.0
2,21,78.6292,-30.3912,0.0000,0.5984,-0.8012,0.0
2,22,78.9426,-30.8107,0.0000,0.5966,-0.8025,0.0
2,23,79.2491,-31.2231,0.0000,0.4948,-0.8690,0.0
2,24,79.4848,-31.6371,0.0000,0.3374,-0.9414,0.0
