point_index,x,y,arc_length_px
371,789.641,305.538,354.878
372,789.127,306.332,355.824
373,788.624,307.132,356.769
374,788.130,307.938,357.714
375,787.646,308.749,358.658
376,787.173,309.566,359.602
377,786.710,310.388,360.546
378,786.258,311.216,361.490
379,785.816,312.050,362.433
380,785.385,312.889,363.376
381,784.964,313.733,364.320
382,784.554,314.583,365.263
383,784.155,315.437,366.206
384,783.768,316.297,367.149
385,783.391,317.162,368.093
386,783.025,318.033,369.037
387,782.671,318.908,369.981
388,782.328,319.788,370.926
389,781.996,320.673,371.871
390,781.676,321.563,372.817
391,781.367,322.458,373.763
392,781.070,323.357,374.710
393,780.785,324.261,375.658
394,780.511,325.170,376.607
395,780.249,326.083,377.557
396,780.000,327.001,378.508
397,779.762,327.923,379.461
398,779.536,328.849,380.414
399,779.321,329.780,381.369
400,779.117,330.714,382.326
401,778.922,331.652,383.283
402,778.738,332.593,384.243
403,778.563,333.538,385.203
404,778.397,334.485,386.165
405,778.239,335.435,387.128
406,778.088,336.388,388.093
407,777.946,337.343,389.058
408,777.810,338.300,390.025
409,777.680,339.259,390.993
410,777.557,340.220,391.961
411,777.439,341.182,392.931
412,777.326,342.145,393.901
413,777.218,343.110,394.871
414,777.114,344.075,395.842
415,777.014,345.041,396.814
416,776.916,346.008,397.785
417,776.822,346.975,398.756
418,776.730,347.941,399.727
419,776.639,348.908,400.698
420,776.550,349.874,401.668
421,776.462,350.840,402.638
422,776.374,351.804,403.607
423,776.287,352.768,404.574
424,776.198,353.730,405.541
425,776.109,354.691,406.506
426,776.018,355.650,407.469
427,775.925,356.608,408.431
428,775.830,357.563,409.391
429,775.732,358.516,410.349
430,775.631,359.466,411.304
431,775.526,360.414,412.258
432,775.416,361.358,413.209
433,775.302,362.300,414.157
434,775.183,363.238,415.103
435,775.058,364.173,416.046
436,774.927,365.103,416.986
437,774.789,366.030,417.923
438,774.645,366.953,418.857
439,774.493,367.871,419.787
440,774.332,368.784,420.715
441,774.164,369.693,421.639
442,773.986,370.596,422.560
443,773.799,371.495,423.477
444,773.602,372.388,424.391
445,773.395,373.275,425.302
446,773.177,374.156,426.210
447,772.948,375.031,427.115
448,772.707,375.900,428.016
449,772.454,376.762,428.915
450,772.189,377.617,429.811
451,771.910,378.466,430.704
452,771.618,379.307,431.595
453,771.311,380.141,432.483
454,770.990,380.968,433.369
455,770.654,381.786,434.254
456,770.303,382.597,435.138
457,769.936,383.399,436.020
458,769.552,384.193,436.902
459,769.152,384.978,437.783
460,768.734,385.755,438.665
461,768.299,386.522,439.547
462,767.845,387.280,440.431
463,767.372,388.028,441.316
464,766.881,388.767,442.203
465,766.370,389.496,443.093
466,765.838,390.215,443.987
467,765.287,390.924,444.885
468,764.717,391.623,445.787
469,764.130,392.314,446.694
470,763.528,392.998,447.605
471,762.911,393.674,448.521
472,762.282,394.345,449.440
473,761.641,395.010,450.364
474,760.990,395.670,451.291
475,760.331,396.327,452.221
476,759.665,396.981,453.154
477,758.994,397.632,454.090
478,758.319,398.283,455.028
479,757.640,398.932,455.967
480,756.961,399.582,456.907
481,756.282,400.233,457.847
482,755.605,400.886,458.788
483,754.931,401.541,459.728
484,754.262,402.200,460.667
485,753.599,402.862,461.604
486,752.943,403.530,462.540
487,752.297,404.203,463.474
488,751.660,404.883,464.405
489,751.036,405.570,465.333
490,750.425,406.266,466.258
491,749.829,406.970,467.181
492,749.249,407.683,468.100
493,748.687,408.407,469.017
494,748.143,409.142,469.931
495,747.617,409.887,470.843
496,747.109,410.643,471.754
497,746.619,411.408,472.663
498,746.147,412.184,473.570
499,745.692,412.968,474.478
500,745.255,413.763,475.384
501,744.835,414.566,476.291
502,744.432,415.379,477.198
503,744.047,416.200,478.105
504,743.678,417.030,479.014
505,743.325,417.869,479.923
506,742.990,418.715,480.834
507,742.671,419.570,481.746
508,742.368,420.432,482.660
509,742.082,421.302,483.575
510,741.811,422.179,484.493
511,741.557,423.063,485.413
512,741.318,423.954,486.336
513,741.095,424.852,487.261
514,740.888,425.757,488.189
515,740.695,426.668,489.120
516,740.519,427.584,490.054
517,740.357,428.507,490.991
518,740.210,429.436,491.931
519,740.078,430.370,492.874
520,739.961,431.309,493.820
521,739.858,432.253,494.770
522,739.770,433.202,495.723
523,739.696,434.156,496.680
524,739.636,435.114,497.640
525,739.590,436.076,498.603
526,739.558,437.043,499.570
527,739.540,438.013,500.541
528,739.535,438.987,501.515
529,739.544,439.964,502.492
530,739.566,440.945,503.473
531,739.601,441.928,504.457
532,739.650,442.914,505.444
533,739.711,443.903,506.435
534,739.785,444.894,507.429
535,739.872,445.888,508.426
536,739.971,446.883,509.426
537,740.082,447.880,510.429
538,740.206,448.879,511.436
539,740.342,449.878,512.445
540,740.490,450.879,513.457
541,740.650,451.881,514.471
542,740.821,452.884,515.488
543,741.004,453.887,516.508
544,741.198,454.891,517.530
545,741.404,455.894,518.554
546,741.620,456.897,519.581
547,741.848,457.901,520.610
548,742.087,458.903,521.640
549,742.336,459.905,522.672
550,742.596,460.906,523.706
551,742.866,461.905,524.742
552,743.147,462.903,525.779
553,743.438,463.900,526.817
554,743.738,464.895,527.856
555,744.049,465.888,528.897
556,744.369,466.879,529.938
557,744.700,467.867,530.980
558,745.039,468.853,532.023
559,745.388,469.836,533.066
560,745.746,470.816,534.109
561,746.113,471.792,535.152
562,746.490,472.765,536.196
563,746.875,473.735,537.239
564,747.268,474.701,538.282
565,747.670,475.662,539.324
566,748.081,476.619,540.366
567,748.500,477.572,541.406
568,748.926,478.520,542.446
569,749.361,479.464,543.485
570,749.804,480.402,544.522
571,750.254,481.335,545.558
572,750.712,482.262,546.592
573,751.178,483.184,547.625
574,751.650,484.099,548.655
575,752.130,485.009,549.684
576,752.617,485.912,550.710
577,753.111,486.809,551.733
578,753.611,487.699,552.754
579,754.119,488.582,553.772
580,754.632,489.457,554.788
581,755.152,490.326,555.800
582,755.678,491.186,556.809
583,756.210,492.039,557.814
584,756.748,492.884,558.816
585,757.292,493.721,559.814
586,757.842,494.549,560.808
587,758.397,495.369,561.797
588,758.957,496.180,562.783
589,759.523,496.982,563.764
590,760.093,497.774,564.741
591,760.669,498.557,565.713
592,761.250,499.331,566.680
593,761.834,500.095,567.642
594,762.422,500.851,568.600
595,763.012,501.600,569.553
596,763.602,502.343,570.502
597,764.192,503.081,571.446
598,764.780,503.815,572.387
599,765.365,504.547,573.324
600,765.946,505.277,574.257
601,766.521,506.007,575.187
602,767.091,506.737,576.113
603,767.652,507.469,577.035
604,768.205,508.205,577.955
605,768.748,508.944,578.872
606,769.279,509.688,579.787
607,769.798,510.439,580.700
608,770.303,511.197,581.611
609,770.794,511.964,582.521
610,771.268,512.740,583.431
611,771.726,513.527,584.341
612,772.165,514.325,585.252
613,772.584,515.137,586.166
614,772.983,515.963,587.083
615,773.360,516.804,588.004
616,773.714,517.659,588.930
617,774.047,518.528,589.860
618,774.358,519.410,590.795
619,774.647,520.304,591.735
620,774.914,521.210,592.679
621,775.159,522.126,593.628
622,775.382,523.053,594.581
623,775.583,523.988,595.538
624,775.761,524.933,596.499
625,775.918,525.885,597.464
626,776.053,526.844,598.433
627,776.166,527.810,599.405
628,776.257,528.781,600.380
629,776.327,529.756,601.359
630,776.374,530.736,602.340
631,776.399,531.720,603.323
632,776.402,532.705,604.309
633,776.383,533.693,605.297
634,776.343,534.681,606.286
635,776.280,535.670,607.277
636,776.195,536.659,608.269
637,776.089,537.646,609.262
638,775.960,538.632,610.256
639,775.810,539.614,611.250
640,775.638,540.594,612.245
641,775.443,541.569,613.239
642,775.227,542.539,614.233
643,774.989,543.504,615.226
644,774.729,544.462,616.219
645,774.447,545.413,617.211
646,774.143,546.356,618.202
647,773.818,547.291,619.192
648,773.470,548.216,620.180
649,773.100,549.131,621.167
650,772.709,550.035,622.152
651,772.296,550.927,623.135
652,771.860,551.807,624.117
653,771.403,552.674,625.097
654,770.924,553.527,626.076
655,770.423,554.366,627.052
656,769.900,555.189,628.027
657,769.356,555.996,629.001
658,768.789,556.786,629.973
659,768.201,557.558,630.944
660,767.590,558.312,631.914
661,766.958,559.047,632.884
662,766.305,559.763,633.853
663,765.632,560.460,634.822
664,764.943,561.141,635.791
665,764.239,561.807,636.759
666,763.524,562.459,637.727
667,762.800,563.099,638.693
668,762.069,563.728,639.658
669,761.335,564.348,640.619
670,760.599,564.961,641.577
671,759.864,565.568,642.530
672,759.132,566.171,643.478
673,758.407,566.770,644.419
674,757.691,567.368,645.352
675,756.985,567.966,646.277
676,756.293,568.566,647.192
677,755.618,569.169,648.098
678,754.961,569.776,648.992
679,754.326,570.390,649.876
680,753.714,571.011,650.747
681,753.129,571.642,651.608
682,752.573,572.284,652.457
683,752.048,572.937,653.295
684,751.557,573.605,654.124
685,751.099,574.286,654.945
686,750.674,574.980,655.759
687,750.281,575.688,656.568
688,749.920,576.409,657.374
689,749.589,577.142,658.179
690,749.289,577.888,658.983
691,749.017,578.646,659.788
692,748.774,579.416,660.595
693,748.560,580.197,661.406
694,748.372,580.990,662.221
695,748.211,581.795,663.041
696,748.075,582.610,663.867
697,747.965,583.435,664.701
698,747.878,584.272,665.541
699,747.816,585.118,666.390
700,747.776,585.974,667.247
701,747.759,586.840,668.113
702,747.763,587.715,668.988
703,747.788,588.599,669.873
704,747.832,589.492,670.767
705,747.897,590.394,671.671
706,747.980,591.304,672.585
707,748.080,592.222,673.508
708,748.198,593.148,674.442
709,748.333,594.082,675.385
710,748.483,595.023,676.338
711,748.649,595.971,677.300
712,748.829,596.926,678.272
713,749.022,597.887,679.253
714,749.229,598.855,680.242
715,749.448,599.828,681.240
716,749.678,600.808,682.246
717,749.919,601.793,683.260
718,750.171,602.783,684.282
719,750.432,603.778,685.311
720,750.701,604.779,686.347
721,750.979,605.783,687.389
722,751.263,606.792,688.437
723,751.555,607.805,689.491
724,751.852,608.821,690.550
725,752.155,609.841,691.614
726,752.461,610.865,692.682
727,752.772,611.891,693.755
728,753.086,612.920,694.830
729,753.402,613.951,695.909
730,753.719,614.985,696.991
731,754.038,616.021,698.074
732,754.357,617.058,699.159
733,754.675,618.097,700.246
734,754.992,619.136,701.333
735,755.307,620.177,702.420
736,755.620,621.219,703.508
737,755.929,622.261,704.594
738,756.234,623.303,705.680
739,756.534,624.345,706.764
740,756.829,625.386,707.847
741,757.118,626.427,708.927
742,757.399,627.467,710.005
743,757.674,628.506,711.079
744,757.939,629.544,712.151
745,758.196,630.580,713.218
746,758.443,631.614,714.281
747,758.680,632.646,715.340
748,758.906,633.675,716.394
749,759.119,634.702,717.443
750,759.320,635.726,718.486
751,759.508,636.747,719.524
752,759.682,637.765,720.556
753,759.841,638.778,721.582
754,759.985,639.788,722.602
755,760.112,640.793,723.616
756,760.223,641.795,724.623
757,760.316,642.791,725.624
758,760.391,643.782,726.618
759,760.447,644.769,727.606
760,760.484,645.749,728.587
761,760.500,646.724,729.562
762,760.495,647.693,730.531
763,760.468,648.656,731.495
764,760.418,649.612,732.452
765,760.346,650.562,733.404
766,760.249,651.505,734.352
767,760.128,652.440,735.295
768,759.982,653.368,736.234
769,759.809,654.287,737.170
770,759.610,655.199,738.104
771,759.383,656.103,739.035
772,759.128,656.998,739.966
773,758.844,657.884,740.897
774,758.531,658.762,741.828
