point_index,x,y,arc_length_px
413,512.255,471.557,375.806
414,512.549,472.296,376.601
415,512.854,473.031,377.397
416,513.172,473.763,378.194
417,513.501,474.489,378.992
418,513.841,475.212,379.791
419,514.194,475.931,380.592
420,514.557,476.645,381.393
421,514.932,477.356,382.196
422,515.318,478.062,383.001
423,515.715,478.765,383.808
424,516.123,479.463,384.617
425,516.542,480.157,385.428
426,516.972,480.847,386.241
427,517.412,481.533,387.056
428,517.864,482.216,387.874
429,518.325,482.894,388.695
430,518.797,483.568,389.518
431,519.280,484.238,390.343
432,519.772,484.904,391.172
433,520.275,485.567,392.003
434,520.787,486.225,392.838
435,521.310,486.880,393.675
436,521.842,487.530,394.516
437,522.385,488.177,395.360
438,522.936,488.820,396.207
439,523.498,489.459,397.058
440,524.068,490.094,397.911
441,524.648,490.725,398.769
442,525.238,491.352,399.629
443,525.836,491.976,400.494
444,526.444,492.596,401.361
445,527.060,493.212,402.233
446,527.685,493.824,403.108
447,528.319,494.432,403.987
448,528.962,495.037,404.869
449,529.613,495.638,405.755
450,530.272,496.235,406.645
451,530.940,496.829,407.538
452,531.616,497.418,408.435
453,532.301,498.004,409.336
454,532.993,498.587,410.241
455,533.693,499.166,411.149
456,534.401,499.741,412.062
457,535.117,500.312,412.978
458,535.841,500.880,413.897
459,536.572,501.444,414.821
460,537.310,502.004,415.748
461,538.056,502.561,416.679
462,538.810,503.115,417.614
463,539.570,503.665,418.552
464,540.337,504.211,419.494
465,541.112,504.754,420.439
466,541.893,505.293,421.389
467,542.681,505.828,422.342
468,543.476,506.360,423.298
469,544.277,506.889,424.258
470,545.085,507.414,425.221
471,545.899,507.936,426.188
472,546.719,508.454,427.159
473,547.546,508.969,428.132
474,548.378,509.480,429.109
475,549.217,509.988,430.090
476,550.062,510.493,431.074
477,550.912,510.994,432.061
478,551.768,511.491,433.051
479,552.629,511.986,434.044
480,553.496,512.477,435.040
481,554.369,512.964,436.040
482,555.247,513.449,437.042
483,556.130,513.930,438.048
484,557.018,514.407,439.056
485,557.911,514.882,440.067
486,558.809,515.353,441.081
487,559.711,515.820,442.098
488,560.619,516.285,443.118
489,561.531,516.746,444.140
490,562.448,517.204,445.164
491,563.369,517.659,446.192
492,564.294,518.111,447.221
493,565.223,518.559,448.253
494,566.157,519.004,449.288
495,567.095,519.446,450.324
496,568.036,519.885,451.363
497,568.982,520.321,452.404
498,569.931,520.753,453.447
499,570.883,521.183,454.492
500,571.840,521.609,455.539
501,572.799,522.032,456.588
502,573.762,522.453,457.638
503,574.728,522.870,458.691
504,575.698,523.284,459.745
505,576.670,523.695,460.801
506,577.645,524.103,461.858
507,578.624,524.507,462.916
508,579.605,524.909,463.976
509,580.588,525.308,465.038
510,581.574,525.704,466.100
511,582.563,526.097,467.164
512,583.554,526.487,468.229
513,584.547,526.874,469.295
514,585.542,527.258,470.362
515,586.539,527.639,471.429
516,587.538,528.017,472.498
517,588.540,528.393,473.567
518,589.542,528.765,474.636
519,590.547,529.135,475.707
520,591.553,529.501,476.778
521,592.560,529.865,477.849
522,593.569,530.226,478.920
523,594.580,530.584,479.992
524,595.591,530.940,481.064
525,596.603,531.292,482.136
526,597.617,531.642,483.208
527,598.631,531.989,484.280
528,599.646,532.333,485.352
529,600.661,532.674,486.423
530,601.678,533.013,487.494
531,602.694,533.349,488.565
532,603.711,533.682,489.635
533,604.729,534.013,490.705
534,605.746,534.341,491.774
535,606.764,534.666,492.843
536,607.782,534.988,493.910
537,608.799,535.308,494.977
538,609.816,535.625,496.042
539,610.833,535.940,497.107
540,611.850,536.252,498.170
541,612.866,536.561,499.232
542,613.881,536.868,500.293
543,614.896,537.172,501.352
544,615.910,537.474,502.410
545,616.923,537.773,503.466
546,617.935,538.069,504.521
547,618.946,538.363,505.574
548,619.956,538.655,506.625
549,620.964,538.944,507.674
550,621.971,539.230,508.721
551,622.977,539.514,509.765
552,623.981,539.795,510.808
553,624.983,540.074,511.849
554,625.983,540.351,512.887
555,626.982,540.625,513.922
556,627.979,540.897,514.955
557,628.973,541.166,515.985
558,629.966,541.433,517.013
559,630.956,541.698,518.038
560,631.943,541.960,519.060
561,632.929,542.220,520.079
562,633.911,542.477,521.095
563,634.891,542.732,522.107
564,635.868,542.985,523.117
565,636.843,543.236,524.123
566,637.814,543.484,525.125
567,638.782,543.730,526.124
568,639.748,543.973,527.120
569,640.709,544.215,528.111
570,641.668,544.454,529.099
571,642.623,544.691,530.083
572,643.575,544.925,531.063
573,644.522,545.158,532.039
574,645.467,545.388,533.011
575,646.407,545.616,533.979
576,647.343,545.842,534.942
577,648.275,546.066,535.900
578,649.203,546.288,536.855
579,650.128,546.507,537.805
580,651.048,546.725,538.750
581,651.964,546.941,539.692
582,652.877,547.156,540.630
583,653.786,547.369,541.563
584,654.692,547.580,542.493
585,655.594,547.791,543.420
586,656.493,548.000,544.343
587,657.389,548.208,545.262
588,658.281,548.416,546.179
589,659.171,548.623,547.092
590,660.058,548.829,548.002
591,660.941,549.035,548.910
592,661.822,549.240,549.814
593,662.701,549.446,550.716
594,663.577,549.651,551.616
595,664.450,549.856,552.513
596,665.321,550.062,553.408
597,666.190,550.268,554.301
598,667.056,550.474,555.192
599,667.921,550.681,556.081
600,668.783,550.888,556.968
601,669.644,551.097,557.853
602,670.503,551.306,558.737
603,671.360,551.516,559.620
604,672.216,551.728,560.501
605,673.070,551.941,561.382
606,673.923,552.155,562.261
607,674.774,552.371,563.139
608,675.624,552.589,564.017
609,676.474,552.809,564.894
610,677.322,553.030,565.771
611,678.169,553.254,566.647
612,679.015,553.480,567.523
613,679.861,553.708,568.399
614,680.706,553.939,569.275
615,681.551,554.172,570.151
616,682.395,554.409,571.028
617,683.239,554.648,571.905
618,684.082,554.890,572.783
619,684.926,555.135,573.661
620,685.769,555.383,574.540
621,686.612,555.635,575.420
622,687.456,555.891,576.302
623,688.300,556.150,577.184
624,689.144,556.412,578.068
625,689.988,556.679,578.954
626,690.834,556.950,579.842
627,691.679,557.225,580.731
628,692.526,557.504,581.622
629,693.373,557.787,582.516
630,694.221,558.076,583.412
631,695.070,558.368,584.310
632,695.920,558.666,585.210
633,696.771,558.968,586.113
634,697.622,559.275,587.017
635,698.473,559.587,587.924
636,699.324,559.904,588.832
637,700.175,560.226,589.742
638,701.026,560.553,590.654
639,701.877,560.885,591.567
640,702.727,561.222,592.481
641,703.576,561.564,593.397
642,704.424,561.912,594.313
643,705.271,562.265,595.231
644,706.117,562.623,596.149
645,706.961,562.987,597.069
646,707.804,563.356,597.989
647,708.644,563.731,598.909
648,709.483,564.111,599.830
649,710.320,564.497,600.751
650,711.154,564.888,601.673
651,711.986,565.286,602.595
652,712.815,565.689,603.517
653,713.641,566.098,604.439
654,714.464,566.513,605.361
655,715.284,566.934,606.282
656,716.101,567.361,607.204
657,716.914,567.794,608.125
658,717.723,568.234,609.046
659,718.529,568.679,609.967
660,719.330,569.131,610.887
661,720.127,569.589,611.806
662,720.920,570.053,612.725
663,721.708,570.524,613.643
664,722.492,571.001,614.560
665,723.270,571.485,615.477
666,724.044,571.976,616.393
667,724.812,572.473,617.308
668,725.575,572.977,618.222
669,726.332,573.487,619.135
670,727.083,574.004,620.047
671,727.828,574.529,620.958
672,728.568,575.060,621.868
673,729.300,575.598,622.778
674,730.027,576.143,623.686
675,730.747,576.695,624.593
676,731.460,577.254,625.499
677,732.166,577.821,626.404
678,732.864,578.395,627.308
679,733.556,578.976,628.212
680,734.240,579.564,629.114
681,734.916,580.160,630.015
682,735.584,580.763,630.915
